bbl,bin,jobnum,year,units,counits,parktype
2054630107,2116313,200910531,2011,2.0,2,required - low density
2053060147,2128799,200911111,2017,2.0,2,required - low density
2042900086,2116037,200911193,2010,1.0,1,required - low density
2049240127,2117235,200917712,2014,2.0,2,required - low density
2049240123,2117231,200917721,2010,2.0,2,required - low density
2049240124,2117232,200917730,2010,2.0,2,required - low density
2049240126,2117234,200917749,2010,2.0,2,required - low density
2049240122,2117230,200917758,2010,2.0,2,required - low density
2049240121,2117228,200917767,2010,2.0,2,required - low density
2049240120,2117229,200917972,2014,2.0,2,required - low density
2058310050,2829748,200922528,2019,1.0,1,required - low density
2058310060,2129280,200922537,2018,1.0,1,required - low density
2058310070,2128952,200922546,2018,1.0,1,required - low density
2058293635,2128950,200922555,2020,1.0,1,required - low density
2058293630,2128949,200922564,2020,1.0,1,required - low density
2058303920,2124403,200922582,2015,1.0,1,required - low density
2058303940,2128951,200922608,2020,1.0,1,required - low density
2046970046,2121386,200925963,2016,2.0,2,required - low density
2054060206,2075046,200930056,2013,2.0,2,required - low density
2041750010,2116488,200931304,2010,2.0,2,required - low density
2048370079,2117222,200933142,2010,3.0,3,required - low density
2046280025,2117671,200933534,2010,1.0,1,not permitted
2046010015,2121038,200938815,2010,3.0,3,required - low density
2048650052,2095101,200938824,2020,3.0,3,required - low density
2041290043,2119810,200939217,2010,3.0,3,required - low density
2041290044,2045545,200939226,2010,3.0,3,required - low density
2048920024,2122349,200941614,2013,3.0,3,required - low density
2048920023,2114596,200941623,2013,3.0,3,required - low density
2048920022,2114595,200941632,2013,3.0,3,required - low density
2048920021,2114594,200942276,2013,3.0,3,required - low density
2048920020,2114597,200942285,2013,2.0,2,required - low density
2050580160,2113895,200946655,2019,2.0,2,required - low density
2054430087,2077254,200976364,2010,2.0,2,required - low density
2032330198,2124399,200977167,2013,2.0,2,required - low density
2032330197,2124400,200977176,2013,2.0,2,required - low density
2037530115,2115319,200978148,2015,3.0,3,required - low density
2054290059,2076802,200979058,2019,2.0,2,required - low density
2055260073,2113488,200980055,2013,2.0,2,required - low density
2048920025,2115689,200981429,2013,3.0,3,required - low density
2032330196,2124398,200981660,2013,2.0,2,required - low density
2049240125,2117233,200989154,2010,2.0,2,required - low density
2050150105,2117241,200990972,2011,3.0,3,required - low density
2047280050,2121633,200991365,2010,2.0,2,required - low density
2047280149,2121634,200991374,2010,2.0,2,required - low density
2055760075,2122472,200997332,2011,2.0,2,required - low density
2050260028,2117244,200999009,2012,2.0,2,required - low density
2050260027,2117243,200999018,2012,2.0,2,required - low density
2048420012,2117223,200999937,2015,2.0,2,required - low density
2049650134,2116379,200999955,2015,2.0,2,required - low density
2049650135,2116380,200999964,2015,2.0,2,required - low density
2049650136,2116381,200999973,2015,2.0,2,required - low density
2049650137,2116382,200999982,2015,2.0,2,required - low density
2056440069,2082627,201000326,2010,2.0,2,required - low density
2055190125,2078923,201002583,2011,2.0,2,required - low density
2037880013,2128428,201006213,2018,3.0,3,required - low density
2044890166,2118450,201006375,2010,2.0,2,required - low density
2044890165,2118449,201006384,2011,2.0,2,required - low density
2044890164,2127116,201006393,2016,2.0,2,required - low density
2044890163,2127117,201006400,2016,2.0,2,required - low density
2044890162,2127118,201006419,2016,2.0,2,required - low density
2044890161,2127119,201006428,2016,2.0,2,required - low density
2044890160,2127120,201006437,2016,2.0,2,required - low density
2044890159,2127121,201006446,2016,2.0,2,required - low density
